# Pixel	Position
496.00	2088.00
497.00	2089.00
498.00	2090.00
499.00	2091.00
500.00	2092.00
501.00	2093.00
502.00	2094.00
503.00	2095.00
504.00	2096.00
505.00	2097.00
506.00	2098.00
507.00	2099.00
508.00	2100.00
509.00	2101.00
510.00	2102.00
511.00	2103.00
512.00	2104.00
513.00	2105.00
514.00	2106.00
515.00	2107.00
516.00	2108.00
517.00	2109.00
518.00	2110.00
519.00	2111.00
520.00	2112.00
521.00	2113.00
522.00	2114.00
523.00	2115.00
524.00	2116.00
525.00	2117.00
526.00	2118.00
527.00	2146.00
528.00	2147.00
529.00	2148.00
530.00	2149.00
531.00	2150.00
532.00	2151.00
533.00	2152.00
534.00	2153.00
535.00	2154.00
536.00	2155.00
537.00	2156.00
538.00	2157.00
539.00	2158.00
540.00	2159.00
541.00	2160.00
542.00	2161.00
543.00	2162.00
544.00	2163.00
545.00	2164.00
546.00	2165.00
547.00	2166.00
548.00	2167.00
549.00	2168.00
550.00	2169.00
551.00	2170.00
552.00	2171.00
553.00	2172.00
554.00	2173.00
555.00	2174.00
556.00	2175.00
557.00	2176.00
558.00	2177.00
559.00	2178.00
560.00	2179.00
561.00	2207.00
562.00	2208.00
563.00	2209.00
564.00	2210.00
565.00	2211.00
566.00	2212.00
567.00	2213.00
568.00	2214.00
569.00	2215.00
570.00	2216.00
571.00	2217.00
572.00	2218.00
573.00	2219.00
574.00	2220.00
575.00	2221.00
576.00	2222.00
577.00	2223.00
578.00	2224.00
579.00	2225.00
580.00	2226.00
581.00	2227.00
582.00	2228.00
583.00	2229.00
584.00	2230.00
585.00	2231.00
586.00	2232.00
587.00	2233.00
588.00	2234.00
589.00	2235.00
590.00	2236.00
591.00	2237.00
592.00	2238.00
593.00	2239.00
594.00	2268.00
595.00	2269.00
596.00	2270.00
597.00	2271.00
598.00	2272.00
599.00	2273.00
600.00	2274.00
601.00	2275.00
602.00	2276.00
603.00	2277.00
604.00	2278.00
605.00	2279.00
606.00	2280.00
607.00	2281.00
608.00	2282.00
609.00	2283.00
610.00	2284.00
611.00	2285.00
612.00	2286.00
613.00	2287.00
614.00	2288.00
615.00	2289.00
616.00	2290.00
617.00	2291.00
618.00	2292.00
619.00	2293.00
620.00	2294.00
621.00	2295.00
622.00	2296.00
623.00	2297.00
624.00	2298.00
625.00	2299.00
626.00	2300.00
627.00	2328.00
628.00	2329.00
629.00	2330.00
630.00	2331.00
631.00	2332.00
632.00	2333.00
633.00	2334.00
634.00	2335.00
635.00	2336.00
636.00	2337.00
637.00	2338.00
638.00	2339.00
639.00	2340.00
640.00	2341.00
641.00	2342.00
642.00	2343.00
643.00	2344.00
644.00	2345.00
645.00	2346.00
646.00	2347.00
647.00	2348.00
648.00	2349.00
649.00	2350.00
650.00	2351.00
651.00	2352.00
652.00	2353.00
653.00	2354.00
654.00	2355.00
655.00	2356.00
656.00	2357.00
657.00	2358.00
658.00	2359.00
659.00	2360.00
660.00	2389.00
661.00	2390.00
662.00	2391.00
663.00	2392.00
664.00	2393.00
665.00	2394.00
666.00	2395.00
667.00	2396.00
668.00	2397.00
669.00	2398.00
670.00	2399.00
671.00	2400.00
672.00	2401.00
673.00	2402.00
674.00	2403.00
675.00	2404.00
676.00	2405.00
677.00	2406.00
678.00	2407.00
679.00	2408.00
680.00	2409.00
681.00	2410.00
682.00	2411.00
683.00	2412.00
684.00	2413.00
685.00	2414.00
686.00	2415.00
687.00	2416.00
688.00	2417.00
689.00	2418.00
690.00	2419.00
691.00	2420.00
692.00	2421.00
693.00	2450.00
694.00	2451.00
695.00	2452.00
696.00	2453.00
697.00	2454.00
698.00	2455.00
699.00	2456.00
700.00	2457.00
701.00	2458.00
702.00	2459.00
703.00	2460.00
704.00	2461.00
705.00	2462.00
706.00	2463.00
707.00	2464.00
708.00	2465.00
709.00	2466.00
710.00	2467.00
711.00	2468.00
712.00	2469.00
713.00	2470.00
714.00	2471.00
715.00	2472.00
716.00	2473.00
717.00	2474.00
718.00	2475.00
719.00	2476.00
720.00	2477.00
721.00	2478.00
722.00	2479.00
723.00	2480.00
724.00	2481.00
725.00	2482.00
726.00	2511.00
727.00	2512.00
728.00	2513.00
729.00	2514.00
730.00	2515.00
731.00	2516.00
732.00	2517.00
733.00	2518.00
734.00	2519.00
735.00	2520.00
736.00	2521.00
737.00	2522.00
738.00	2523.00
739.00	2524.00
740.00	2525.00
741.00	2526.00
742.00	2527.00
743.00	2528.00
744.00	2529.00
745.00	2530.00
746.00	2531.00
747.00	2532.00
748.00	2533.00
749.00	2534.00
750.00	2535.00
751.00	2536.00
752.00	2537.00
753.00	2538.00
754.00	2539.00
755.00	2540.00
756.00	2541.00
757.00	2542.00
758.00	2572.00
759.00	2573.00
760.00	2574.00
761.00	2575.00
762.00	2576.00
763.00	2577.00
764.00	2578.00
765.00	2579.00
766.00	2580.00
767.00	2581.00
768.00	2582.00
769.00	2583.00
770.00	2584.00
771.00	2585.00
772.00	2586.00
773.00	2587.00
774.00	2588.00
775.00	2589.00
776.00	2590.00
777.00	2591.00
778.00	2592.00
779.00	2593.00
780.00	2594.00
781.00	2595.00
782.00	2596.00
783.00	2597.00
784.00	2598.00
785.00	2599.00
786.00	2600.00
787.00	2601.00
788.00	2602.00
789.00	2603.00
790.00	2633.00
791.00	2634.00
792.00	2635.00
793.00	2636.00
794.00	2637.00
795.00	2638.00
796.00	2639.00
797.00	2640.00
798.00	2641.00
799.00	2642.00
800.00	2643.00
801.00	2644.00
802.00	2645.00
803.00	2646.00
804.00	2647.00
805.00	2648.00
806.00	2649.00
807.00	2650.00
808.00	2651.00
809.00	2652.00
810.00	2653.00
811.00	2654.00
812.00	2655.00
813.00	2656.00
814.00	2657.00
815.00	2658.00
816.00	2659.00
817.00	2660.00
818.00	2661.00
819.00	2662.00
820.00	2663.00
821.00	2698.00
822.00	2699.00
823.00	2700.00
824.00	2701.00
825.00	2702.00
826.00	2703.00
827.00	2704.00
828.00	2705.00
829.00	2706.00
830.00	2707.00
831.00	2708.00
832.00	2709.00
833.00	2710.00
834.00	2711.00
835.00	2712.00
836.00	2713.00
837.00	2714.00
838.00	2715.00
839.00	2716.00
840.00	2717.00
841.00	2718.00
842.00	2719.00
843.00	2720.00
844.00	2721.00
845.00	2722.00
846.00	2723.00
847.00	2724.00
848.00	2766.00
849.00	2767.00
850.00	2768.00
851.00	2769.00
852.00	2770.00
853.00	2771.00
854.00	2772.00
855.00	2773.00
856.00	2774.00
857.00	2775.00
858.00	2776.00
859.00	2777.00
860.00	2778.00
861.00	2779.00
862.00	2780.00
863.00	2781.00
864.00	2782.00
865.00	2783.00
866.00	2784.00
867.00	2785.00
868.00	2834.00
869.00	2835.00
870.00	2836.00
871.00	2837.00
872.00	2838.00
873.00	2839.00
874.00	2840.00
875.00	2841.00
876.00	2842.00
877.00	2843.00
878.00	2844.00
879.00	2845.00
880.00	2902.00
881.00	2903.00
882.00	2904.00
883.00	2905.00
884.00	2906.00
